2010-01-04	15	2171	626.1	497.81	4619	2296	8452.82	32743.41
2010-01-04	16	2246	652.38	511.85	4941	2439	8332.61	32863.7
2010-01-04	17	2692	869.9	655.06	6290	3194	9836.95	40036.64
2010-01-04	18	3298	1138.69	812.68	7962	4074	11711.35	48602.72
2010-01-04	19	3256	1092.49	755.53	7764	3999	12112.69	48558.79
2010-01-04	2	456	106.11	89.23	849	410	2127.47	7140.53
2010-01-04	20	2960	951.18	677.11	7062	3563	12134.68	46252.95
2010-01-04	21	2753	870.42	617.5	6444	3265	11676.4	43305.38
2010-01-04	22	2318	685.92	505.33	5139	2551	10059.23	36228.41
2010-01-04	23	1764	485.36	364.66	3836	1855	8029.07	27991.83
2010-01-04	3	270	58.47	50.64	492	239	1211.22	4177.81
2010-01-04	4	256	64.33	55.09	526	250	1581.29	5021.61
2010-01-04	5	457	107.81	91.12	921	468	2667.79	8783.57
2010-01-04	6	1145	298.29	226.53	2598	1343	5320.13	18009.41
2010-01-04	7	2203	718.75	512.64	5218	2753	9232.27	34396.31
2010-01-04	8	3062	1185.77	834.91	7702	4060	12372.38	49670.75
2010-01-04	9	3011	1013.86	729.61	6415	3372	10876.01	44154.42
2010-01-05	0	1276	319.36	252.59	2595	1241	5702.92	19557.0
2010-01-05	1	749	168.69	136.27	1452	705	2993.73	10516.19
2010-01-05	10	2736	823.72	620.89	5898	2924	8733.03	36678.68
2010-01-05	11	2391	678.95	536.12	5044	2518	7572.54	31705.93
2010-01-05	12	2427	714.11	549.53	5059	2643	7765.57	32994.11
2010-01-05	13	2370	679.93	532.74	5052	2577	7426.59	31876.48
2010-01-05	14	2449	738.01	576.74	5175	2681	8055.91	34112.18
2010-01-05	15	2601	827.08	647.95	5823	2875	9412.59	38521.36
2010-01-05	16	2342	738.35	563.9	5142	2569	8446.81	34375.1
2010-01-05	17	2790	974.92	736.53	7175	3460	10198.13	42394.94
2010-01-05	18	3558	1359.48	970.86	9203	4647	12849.09	55364.07
2010-01-05	19	3787	1360.25	941.1	9444	4758	13934.38	57784.17
2010-01-05	2	410	90.72	74.35	845	414	1612.64	5710.7
2010-01-05	20	3500	1204.24	837.28	8678	4330	13874.48	54319.95
2010-01-05	21	3264	1137.79	782.49	8182	4096	13784.18	52405.94
2010-01-05	22	2879	932.7	669.63	6816	3337	12147.72	45662.91
2010-01-05	23	2308	659.27	494.85	5153	2472	9562.79	35050.17
2010-01-05	3	270	54.19	44.32	543	248	916.88	3308.52
2010-01-05	4	263	64.4	56.07	583	257	1509.66	4949.14
2010-01-05	5	434	96.02	80.54	867	441	2205.72	7415.49
2010-01-05	6	1122	282.74	211.98	2486	1301	4581.49	16077.92
2010-01-05	7	2390	786.57	556.98	5971	3062	9375.02	35960.34
2010-01-05	8	3475	1432.42	998.06	9345	4760	13005.11	56059.54
2010-01-05	9	3545	1320.91	941.93	8204	4286	12249.99	53196.27
2010-01-06	0	1619	424.63	326.9	3252	1620	6863.54	24240.02
2010-01-06	1	956	230.31	177.03	1950	927	3516.36	12926.98
2010-01-06	10	2860	874.54	656.16	5908	3090	9024.64	38479.84
2010-01-06	11	2594	774.38	603.84	5704	2851	8492.5	36052.74
2010-01-06	12	2608	793.01	597.35	5799	2956	8237.89	35742.44
2010-01-06	13	2582	763.13	597.46	5486	2854	8315.15	35421.87
2010-01-06	14	2700	830.21	655.61	5746	2977	8917.84	38113.04
2010-01-06	15	2654	881.36	687.21	5910	2991	9495.17	39806.46
2010-01-06	16	2491	813.35	628.85	5621	2782	9101.26	37512.63
2010-01-06	17	2887	1024.43	769.27	7232	3591	10344.92	43797.98
2010-01-06	18	3709	1468.06	1049.32	9771	4944	13247.09	58049.44
2010-01-06	19	3902	1508.23	1033.71	10323	5162	14507.23	61274.64
2010-01-06	2	567	127.28	102.42	1202	547	2052.1	7683.45
2010-01-06	20	3816	1448.05	994.75	10111	5011	15737.78	62735.2
2010-01-06	21	3592	1288.86	876.09	9184	4518	14824.12	57401.79
2010-01-06	22	3275	1148.03	803.4	8039	4030	14293.76	54076.31
2010-01-06	23	2563	777.01	562.98	5752	2787	10664.53	39146.9
2010-01-06	3	374	79.9	63.7	768	359	1305.85	4812.12
2010-01-06	4	254	54.33	46.92	511	233	1131.32	3882.35
2010-01-06	5	421	89.7	76.2	834	421	2083.73	6923.47
2010-01-06	6	1138	291.98	215.31	2596	1355	4627.1	16606.64
2010-01-06	7	2421	773.74	547.58	5951	3069	8989.67	35136.81
2010-01-06	8	3496	1445.08	1017.83	9414	4903	12933.49	56529.31
2010-01-06	9	3619	1420.18	1007.63	8551	4497	12983.34	56586.11
2010-01-07	0	1819	475.82	369.26	3647	1869	7284.86	26466.08
2010-01-07	1	1086	257.05	200.38	2185	1045	3959.67	14662.1
2010-01-07	10	2973	954.62	703.64	6287	3241	9305.89	40441.49
2010-01-07	11	2670	798.74	612.36	5835	2967	8048.11	35358.25
2010-01-07	12	2823	873.08	671.38	6236	3144	8773.51	38862.8
2010-01-07	13	2732	840.79	639.91	6042	3064	8459.0	37483.84
2010-01-07	14	2905	983.45	766.54	6433	3261	10164.99	43483.15
2010-01-07	15	2863	1004.35	766.62	6749	3302	10671.99	44575.88
2010-01-07	16	2550	852.26	664.0	5772	2903	9837.74	39695.15
2010-01-07	17	2971	1104.72	843.3	7315	3729	11042.01	46681.04
2010-01-07	18	3782	1524.62	1098.86	10033	5012	13747.16	60442.18
2010-01-07	19	4136	1662.35	1161.44	11098	5583	15627.08	66819.49
2010-01-07	2	688	160.4	128.94	1475	697	2527.91	9266.3
2010-01-07	20	4073	1570.19	1073.81	10543	5242	16340.36	65645.85
2010-01-07	21	3798	1440.31	988.49	10044	4915	16347.65	63240.05
2010-01-07	22	3649	1361.81	944.03	9962	4775	15873.29	61092.11
2010-01-07	23	3150	1044.88	739.89	7553	3705	13140.02	49260.27
2010-01-07	3	441	92.39	75.26	892	417	1461.06	5420.48
2010-01-07	4	329	76.32	65.37	634	305	1504.16	5207.65
2010-01-07	5	471	97.95	82.03	899	475	2230.41	7462.01
2010-01-07	6	1228	315.11	232.3	2815	1449	5113.49	18068.76
2010-01-07	7	2583	850.77	592.25	6343	3335	9784.73	38189.14
2010-01-07	8	3585	1543.24	1054.98	9896	5172	13495.36	58673.26
2010-01-07	9	3703	1453.12	1017.3	8943	4626	12922.38	57106.13
2010-01-08	0	2757	868.7	637.16	6836	3245	11601.79	43701.96
2010-01-08	1	1645	440.83	336.05	3494	1711	6342.03	23561.85
2010-01-08	10	2918	936.64	687.09	6033	3213	8822.74	39267.02
2010-01-08	11	2665	800.04	607.97	5743	2931	8266.06	36006.11
2010-01-08	12	2651	851.23	637.11	6199	3211	8665.13	37916.44
2010-01-08	13	2571	811.58	598.98	5819	2968	8581.13	36721.89
2010-01-08	14	2825	945.93	706.55	6579	3343	9924.8	42184.08
2010-01-08	15	2796	918.58	715.72	6292	3129	10487.19	43123.6
2010-01-08	16	2597	817.4	631.64	5772	2898	9224.61	38344.05
2010-01-08	17	3035	1064.06	779.08	7721	3874	10496.9	45293.61
2010-01-08	18	3857	1522.07	1083.48	10784	5226	14263.3	61865.59
2010-01-08	19	4260	1710.82	1183.94	12134	5913	15579.29	68396.43
2010-01-08	2	1023	250.46	188.96	2224	1048	3604.37	13482.98
2010-01-08	20	4126	1631.44	1128.75	11308	5491	16135.26	67111.88
2010-01-08	21	3841	1412.72	988.94	10285	4957	15061.51	61127.19
2010-01-08	22	3826	1414.43	1005.74	10161	4912	15478.66	61897.44
2010-01-08	23	3745	1425.38	1005.14	10687	4991	15351.09	61831.06
2010-01-08	3	663	165.56	134.23	1461	651	2526.63	9258.89
2010-01-08	4	421	104.99	89.04	826	384	1972.8	6749.73
2010-01-08	5	436	100.43	83.77	858	467	2103.33	7248.13
2010-01-08	6	1213	316.93	237.27	2679	1437	4885.6	17521.89
2010-01-08	7	2536	898.4	627.32	6403	3351	9820.76	38299.77
2010-01-08	8	3533	1495.64	1051.84	9298	4932	13218.67	57355.26
2010-01-08	9	3707	1556.15	1089.02	9141	4757	12758.97	58245.62
2010-01-09	0	3731	1428.89	1001.84	10379	4847	15812.95	62669.06
2010-01-09	1	3232	1103.93	778.23	8315	3907	12874.36	50344.72
2010-01-09	10	2045	554.05	395.93	4896	2396	6558.39	26475.98
2010-01-09	11	2449	721.19	509.03	5750	2951	7992.59	32829.35
2010-01-09	12	2730	850.07	601.63	6664	3356	9082.48	37899.5
2010-01-09	13	2741	880.68	636.31	6639	3253	9265.7	38814.5
2010-01-09	14	2666	824.63	604.24	6500	3122	8739.74	36504.82
2010-01-09	15	2785	902.07	663.3	6895	3329	9625.95	39962.95
2010-01-09	16	2677	891.49	656.62	6684	3292	9865.22	40367.47
2010-01-09	17	2776	938.88	687.5	7304	3577	10324.87	42204.48
2010-01-09	18	3244	1167.59	836.96	8581	4131	11846.15	49102.52
2010-01-09	19	3696	1390.91	985.82	10235	4891	13473.26	56905.5
2010-01-09	2	2752	907.07	644.54	7042	3328	10967.23	42694.56
2010-01-09	20	3738	1347.85	961.65	10110	4721	13376.77	56544.53
2010-01-09	21	3435	1140.09	817.58	8936	4249	12129.27	50085.46
2010-01-09	22	3706	1359.35	972.0	10387	4871	13839.31	57420.75
2010-01-09	23	3923	1617.87	1149.06	11433	5381	15689.06	65722.88
2010-01-09	3	2075	646.21	457.18	5145	2368	8151.48	30939.11
2010-01-09	4	1302	339.37	273.39	2721	1219	5561.57	19699.58
2010-01-09	5	494	108.08	96.67	907	416	2494.86	8252.75
2010-01-09	6	497	116.89	101.29	938	485	2738.99	9165.41
